Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.042496,-0.35542,-0.12497,0,0,0,2.2247,0.0058579,-0.0012074,0.00037284,0.0076061,0.000589,0.010389,0,0,0,0,0,0,package://cubot_v2_split.SLDPRT/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://cubot_v2_split.SLDPRT/meshes/base_link.STL,,cubot_v2_split-1,Origin_global,Axis_right_wheel_joint,right_wheel_joint,continuous,-0.16092,-0.35558,-0.17139,2.8557,-0.11504,-2.6546,base_link,1,0,0,,,,,,,,,,,,
left_wheel_link,-0.0023442,-4.6557E-05,-5.8405E-07,0,0,0,0.045867,3.3166E-05,-8.8737E-10,4.1829E-11,1.9225E-05,-4.1436E-10,1.9156E-05,0,0,0,0,0,0,package://cubot_v2_split.SLDPRT/meshes/left_wheel_link.STL,0.74118,0.90196,0.95686,1,0,0,0,0,0,0,package://cubot_v2_split.SLDPRT/meshes/left_wheel_link.STL,,65mm黑色轮胎.stp-2,Origin_left_wheel_joint,Axis_left_wheel_joint,left_wheel_joint,continuous,0.022376,-0.25852,-0.19536,-0.09321,0.11504,0.487,base_link,1,0,0,,,,,,,,,,,,
right_wheel_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://cubot_v2_split.SLDPRT/meshes/right_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://cubot_v2_split.SLDPRT/meshes/right_wheel_link.STL,,65mm黑色轮胎.stp-1,Origin_right_wheel_joint,Axis_right_wheel_joint,right_wheel_joint,continuous,-0.16092,-0.35558,-0.17139,2.8557,-0.11504,-2.6546,base_link,1,0,0,,,,,,,,,,,,
